config_str,phase,Metric,Performance,action_dim,batch_size,drop_prob,gamma,hidden_dim,lr,num_epochs,num_hidden,option,state_dim,target_update,use_scheduler
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,train,loss,1.3350520425131323,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,train,loss,1.349547445394876,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,train,value,1.3350520425131323,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,train,value,1.349547445394876,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,train,empirical_value,1.3350520425131323,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,train,empirical_value,1.349547445394876,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,val,loss,1.5492345659613243,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,val,loss,1.2962670653234851,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,val,value,1.5492345659613243,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,val,value,1.2962670653234851,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,val,empirical_value,1.5492345659613243,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
action_dim_25batch_size_512_drop_prob_0.0_gamma_0.9_hidden_dim_256_lr_0.0001_num_epochs_2_num_hidden_3_option_linear_state_dim_46_target_update_10_use_scheduler_False_time_7062418,val,empirical_value,1.2962670653234851,25,512,0.0,0.9,256,0.0001,2,3,linear,46,10,False
